"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"727","GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION",0.00485681536085369,0.0245269175723112,1,26,"ENSG00000077254","MM909_17"
"728","GOMF_UBIQUITIN_CONJUGATING_ENZYME_BINDING",0.00578833564105075,0.0278391380831488,1,31,"ENSG00000175104","MM909_17"
"729","GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING",0.00690510487220308,0.0317007087314778,1,37,"ENSG00000175104","MM909_17"
"730","GOBP_PROTEIN_K63_LINKED_UBIQUITINATION",0.0108047479470817,0.0474469366371851,1,58,"ENSG00000175104","MM909_17"
"731","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",0.01210150637193,0.0509271726485386,1,65,"ENSG00000118518","MM909_17"
"732","KEGG_ERBB_SIGNALING_PATHWAY",0.0161668948886674,0.0653142553502163,1,87,"ENSG00000114423","MM909_17"
"733","GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX",0.0333650295183459,0.129610306975113,1,181,"ENSG00000112659","MM909_17"
"734","BIOCARTA_ATRBRCA_PATHWAY",1,1,0,22,"","MM909_17"
"735","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_17"
"736","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_17"
"737","BIOCARTA_HIF_PATHWAY",1,1,0,15,"","MM909_17"
"738","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_17"
"739","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_17"
"740","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_17"
"741","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_17"
"742","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_17"
"743","GCM_USP6",1,1,0,69,"","MM909_17"
"744","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",1,1,0,9,"","MM909_17"
"745","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_17"
"746","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_17"
"747","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_17"
"748","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_17"
"749","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_17"
"750","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_17"
"751","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,22,"","MM909_17"
"752","GOBP_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,8,"","MM909_17"
"753","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION",1,1,0,10,"","MM909_17"
"754","GOBP_PROTEIN_K11_LINKED_UBIQUITINATION",1,1,0,30,"","MM909_17"
"755","GOBP_PROTEIN_K27_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_17"
"756","GOBP_PROTEIN_K29_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_17"
"757","GOBP_PROTEIN_K6_LINKED_UBIQUITINATION",1,1,0,11,"","MM909_17"
"758","GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION",1,1,0,5,"","MM909_17"
"759","GOBP_PROTEIN_MONOUBIQUITINATION",1,1,0,42,"","MM909_17"
"760","GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION",1,1,0,10,"","MM909_17"
"761","GOBP_REGULATION_OF_PROTEIN_K48_LINKED_UBIQUITINATION",1,1,0,6,"","MM909_17"
"762","GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,18,"","MM909_17"
"763","GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,39,"","MM909_17"
"764","GOBP_RIBOSOME_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,7,"","MM909_17"
"765","GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_C_END_DEGRON_RULE_PATHWAY",1,1,0,12,"","MM909_17"
"766","GOBP_UBIQUITIN_RECYCLING",1,1,0,13,"","MM909_17"
"767","GOCC_ANAPHASE_PROMOTING_COMPLEX",1,1,0,21,"","MM909_17"
"768","GOCC_COP9_SIGNALOSOME",1,1,0,17,"","MM909_17"
"769","GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,25,"","MM909_17"
"770","GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,36,"","MM909_17"
"771","GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX",1,1,0,37,"","MM909_17"
"772","GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX",1,1,0,13,"","MM909_17"
"773","GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX",1,1,0,6,"","MM909_17"
"774","GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,9,"","MM909_17"
"775","GOCC_ER_UBIQUITIN_LIGASE_COMPLEX",1,1,0,9,"","MM909_17"
"776","GOCC_GID_COMPLEX",1,1,0,5,"","MM909_17"
"777","GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX",1,1,0,6,"","MM909_17"
"778","GOCC_LEWY_BODY",1,1,0,8,"","MM909_17"
"779","GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX",1,1,0,43,"","MM909_17"
"780","GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX",1,1,0,64,"","MM909_17"
"781","GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX",1,1,0,8,"","MM909_17"
"782","GOMF_ANAPHASE_PROMOTING_COMPLEX_BINDING",1,1,0,9,"","MM909_17"
"783","GOMF_CULLIN_FAMILY_PROTEIN_BINDING",1,1,0,26,"","MM909_17"
"784","GOMF_HISTONE_DEUBIQUITINASE_ACTIVITY",1,1,0,6,"","MM909_17"
"785","GOMF_HISTONE_H2A_UBIQUITIN_LIGASE_ACTIVITY",1,1,0,5,"","MM909_17"
"786","GOMF_HISTONE_UBIQUITIN_LIGASE_ACTIVITY",1,1,0,10,"","MM909_17"
"787","GOMF_K63_LINKED_DEUBIQUITINASE_ACTIVITY",1,1,0,14,"","MM909_17"
"788","GOMF_METAL_DEPENDENT_DEUBIQUITINASE_ACTIVITY",1,1,0,11,"","MM909_17"
"789","GOMF_UBIQUITIN_LIGASE_ACTIVATOR_ACTIVITY",1,1,0,7,"","MM909_17"
"790","GOMF_UBIQUITIN_LIGASE_COMPLEX_SCAFFOLD_ACTIVITY",1,1,0,6,"","MM909_17"
"791","GOMF_UBIQUITIN_LIGASE_INHIBITOR_ACTIVITY",1,1,0,8,"","MM909_17"
"792","GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY",1,1,0,54,"","MM909_17"
"793","GOMF_UBIQUITIN_LIKE_MODIFIER_ACTIVATING_ENZYME_ACTIVITY",1,1,0,10,"","MM909_17"
"794","GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_ENDOPEPTIDASE_ACTIVITY",1,1,0,5,"","MM909_17"
"795","GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY",1,1,0,27,"","MM909_17"
"796","KEGG_OOCYTE_MEIOSIS",1,1,0,112,"","MM909_17"
"797","KEGG_PARKINSONS_DISEASE",1,1,0,113,"","MM909_17"
"798","KEGG_PROTEASOME",1,1,0,44,"","MM909_17"
"799","LE_SKI_TARGETS_DN",1,1,0,7,"","MM909_17"
"800","LE_SKI_TARGETS_UP",1,1,0,17,"","MM909_17"
"801","MODULE_278",1,1,0,34,"","MM909_17"
"802","MORF_USP5",1,1,0,51,"","MM909_17"
"803","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1",1,1,0,48,"","MM909_17"
"804","REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS",1,1,0,51,"","MM909_17"
