"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"383","GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_ENDOPEPTIDASE_ACTIVITY",1,1,0,5,"","MM909_11"
"384","GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY",1,1,0,27,"","MM909_11"
"385","GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY",1,1,0,14,"","MM909_11"
"386","KEGG_ERBB_SIGNALING_PATHWAY",1,1,0,87,"","MM909_11"
"387","KEGG_OOCYTE_MEIOSIS",1,1,0,112,"","MM909_11"
"388","KEGG_PARKINSONS_DISEASE",1,1,0,113,"","MM909_11"
"389","KEGG_PROTEASOME",1,1,0,44,"","MM909_11"
"390","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1,1,0,133,"","MM909_11"
"391","LE_SKI_TARGETS_DN",1,1,0,7,"","MM909_11"
"392","LE_SKI_TARGETS_UP",1,1,0,17,"","MM909_11"
"393","MODULE_278",1,1,0,34,"","MM909_11"
"394","MORF_USP5",1,1,0,51,"","MM909_11"
"395","PROTEIN_UBIQUITINATION",1,1,0,40,"","MM909_11"
"396","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1",1,1,0,48,"","MM909_11"
"397","REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS",1,1,0,51,"","MM909_11"
"398","SMALL_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",1,1,0,52,"","MM909_11"
"399","STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS",1,1,0,11,"","MM909_11"
"400","UBIQUITIN_CYCLE",1,1,0,48,"","MM909_11"
"401","UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,49,"","MM909_11"
"402","WAESCH_ANAPHASE_PROMOTING_COMPLEX",1,1,0,13,"","MM909_11"
"403","WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY",1,1,0,71,"","MM909_11"
"404","YU_BAP1_TARGETS",1,1,0,29,"","MM909_11"
"405","GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX",0.000670805903092098,0.0677513962123019,1,43,"ENSG00000115289","MM909_14"
"406","GOCC_UBIQUITIN_LIGASE_COMPLEX",0.00486724283173701,0.245795763002719,1,312,"ENSG00000115289","MM909_14"
"407","BIOCARTA_ATRBRCA_PATHWAY",1,1,0,22,"","MM909_14"
"408","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_14"
"409","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_14"
"410","BIOCARTA_HIF_PATHWAY",1,1,0,15,"","MM909_14"
"411","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_14"
"412","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_14"
"413","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_14"
"414","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_14"
"415","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_14"
"416","GCM_USP6",1,1,0,69,"","MM909_14"
"417","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",1,1,0,9,"","MM909_14"
"418","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_14"
"419","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_14"
"420","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_14"
"421","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_14"
"422","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_14"
"423","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,109,"","MM909_14"
"424","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_14"
"425","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,22,"","MM909_14"
"426","GOBP_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,8,"","MM909_14"
"427","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION",1,1,0,10,"","MM909_14"
"428","GOBP_PROTEIN_K11_LINKED_UBIQUITINATION",1,1,0,30,"","MM909_14"
"429","GOBP_PROTEIN_K27_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_14"
"430","GOBP_PROTEIN_K29_LINKED_DEUBIQUITINATION",1,1,0,5,"","MM909_14"
"431","GOBP_PROTEIN_K29_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_14"
"432","GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION",1,1,0,26,"","MM909_14"
"433","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",1,1,0,65,"","MM909_14"
"434","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION",1,1,0,30,"","MM909_14"
"435","GOBP_PROTEIN_K63_LINKED_UBIQUITINATION",1,1,0,58,"","MM909_14"
"436","GOBP_PROTEIN_K6_LINKED_UBIQUITINATION",1,1,0,11,"","MM909_14"
"437","GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION",1,1,0,5,"","MM909_14"
"438","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",1,1,0,828,"","MM909_14"
"439","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL",1,1,0,133,"","MM909_14"
"440","GOBP_PROTEIN_MONOUBIQUITINATION",1,1,0,42,"","MM909_14"
"441","GOBP_PROTEIN_POLYUBIQUITINATION",1,1,0,225,"","MM909_14"
"442","GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION",1,1,0,10,"","MM909_14"
"443","GOBP_REGULATION_OF_PROTEIN_K48_LINKED_UBIQUITINATION",1,1,0,6,"","MM909_14"
"444","GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,199,"","MM909_14"
"445","GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,18,"","MM909_14"
"446","GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,39,"","MM909_14"
"447","GOBP_RIBOSOME_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,7,"","MM909_14"
"448","GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_C_END_DEGRON_RULE_PATHWAY",1,1,0,12,"","MM909_14"
"449","GOBP_UBIQUITIN_RECYCLING",1,1,0,13,"","MM909_14"
"450","GOCC_ANAPHASE_PROMOTING_COMPLEX",1,1,0,21,"","MM909_14"
"451","GOCC_COP9_SIGNALOSOME",1,1,0,17,"","MM909_14"
"452","GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,25,"","MM909_14"
"453","GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,36,"","MM909_14"
"454","GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX",1,1,0,37,"","MM909_14"
"455","GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX",1,1,0,13,"","MM909_14"
"456","GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX",1,1,0,6,"","MM909_14"
"457","GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,9,"","MM909_14"
"458","GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX",1,1,0,181,"","MM909_14"
"459","GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX",1,1,0,13,"","MM909_14"
"460","GOCC_ER_UBIQUITIN_LIGASE_COMPLEX",1,1,0,9,"","MM909_14"
"461","GOCC_GID_COMPLEX",1,1,0,5,"","MM909_14"
"462","GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX",1,1,0,6,"","MM909_14"
"463","GOCC_LEWY_BODY",1,1,0,8,"","MM909_14"
"464","GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX",1,1,0,64,"","MM909_14"
"465","GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX",1,1,0,8,"","MM909_14"
"466","GOMF_ANAPHASE_PROMOTING_COMPLEX_BINDING",1,1,0,9,"","MM909_14"
"467","GOMF_CULLIN_FAMILY_PROTEIN_BINDING",1,1,0,26,"","MM909_14"
"468","GOMF_DEUBIQUITINASE_ACTIVITY",1,1,0,118,"","MM909_14"
"469","GOMF_HISTONE_DEUBIQUITINASE_ACTIVITY",1,1,0,6,"","MM909_14"
"470","GOMF_HISTONE_H2A_UBIQUITIN_LIGASE_ACTIVITY",1,1,0,5,"","MM909_14"
"471","GOMF_HISTONE_UBIQUITIN_LIGASE_ACTIVITY",1,1,0,10,"","MM909_14"
"472","GOMF_K48_LINKED_DEUBIQUITINASE_ACTIVITY",1,1,0,17,"","MM909_14"
"473","GOMF_K63_LINKED_DEUBIQUITINASE_ACTIVITY",1,1,0,14,"","MM909_14"
"474","GOMF_METAL_DEPENDENT_DEUBIQUITINASE_ACTIVITY",1,1,0,11,"","MM909_14"
"475","GOMF_UBIQUITIN_CONJUGATING_ENZYME_BINDING",1,1,0,31,"","MM909_14"
"476","GOMF_UBIQUITIN_LIGASE_ACTIVATOR_ACTIVITY",1,1,0,7,"","MM909_14"
"477","GOMF_UBIQUITIN_LIGASE_COMPLEX_SCAFFOLD_ACTIVITY",1,1,0,6,"","MM909_14"
"478","GOMF_UBIQUITIN_LIGASE_INHIBITOR_ACTIVITY",1,1,0,8,"","MM909_14"
"479","GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY",1,1,0,54,"","MM909_14"
"480","GOMF_UBIQUITIN_LIKE_MODIFIER_ACTIVATING_ENZYME_ACTIVITY",1,1,0,10,"","MM909_14"
"481","GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING",1,1,0,122,"","MM909_14"
"482","GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING",1,1,0,37,"","MM909_14"
"483","GOMF_UBIQUITIN_LIKE_PROTEIN_PEPTIDASE_ACTIVITY",1,1,0,130,"","MM909_14"
"484","GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_ENDOPEPTIDASE_ACTIVITY",1,1,0,5,"","MM909_14"
"485","GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY",1,1,0,27,"","MM909_14"
"486","GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY",1,1,0,14,"","MM909_14"
"487","KEGG_ERBB_SIGNALING_PATHWAY",1,1,0,87,"","MM909_14"
"488","KEGG_OOCYTE_MEIOSIS",1,1,0,112,"","MM909_14"
"489","KEGG_PARKINSONS_DISEASE",1,1,0,113,"","MM909_14"
"490","KEGG_PROTEASOME",1,1,0,44,"","MM909_14"
"491","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1,1,0,133,"","MM909_14"
"492","LE_SKI_TARGETS_DN",1,1,0,7,"","MM909_14"
"493","LE_SKI_TARGETS_UP",1,1,0,17,"","MM909_14"
"494","MODULE_278",1,1,0,34,"","MM909_14"
"495","MORF_USP5",1,1,0,51,"","MM909_14"
"496","PROTEIN_UBIQUITINATION",1,1,0,40,"","MM909_14"
"497","REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1",1,1,0,48,"","MM909_14"
"498","REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS",1,1,0,51,"","MM909_14"
"499","SMALL_PROTEIN_CONJUGATING_ENZYME_ACTIVITY",1,1,0,52,"","MM909_14"
"500","STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS",1,1,0,11,"","MM909_14"
"501","UBIQUITIN_CYCLE",1,1,0,48,"","MM909_14"
"502","UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,49,"","MM909_14"
"503","WAESCH_ANAPHASE_PROMOTING_COMPLEX",1,1,0,13,"","MM909_14"
"504","WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY",1,1,0,71,"","MM909_14"
"505","YU_BAP1_TARGETS",1,1,0,29,"","MM909_14"
"506","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",3.38345772618965e-17,3.41729230345155e-15,10,828,"ENSG00000072609, ENSG00000108094, ENSG00000158290, ENSG00000044090, ENSG00000135144, ENSG00000103657, ENSG00000125826, ENSG00000121060, ENSG00000169871, ENSG00000182247","MM909_15"
"507","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",4.52618581480161e-11,2.28572383647482e-09,5,133,"ENSG00000108094, ENSG00000158290, ENSG00000044090, ENSG00000103657, ENSG00000182247","MM909_15"
"508","GOCC_UBIQUITIN_LIGASE_COMPLEX",3.8023335997373e-07,1.28011897857822e-05,4,312,"ENSG00000108094, ENSG00000158290, ENSG00000044090, ENSG00000125826","MM909_15"
"509","GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX",6.20192274710171e-06,0.000156598549364318,3,181,"ENSG00000108094, ENSG00000158290, ENSG00000044090","MM909_15"
"510","GOBP_PROTEIN_POLYUBIQUITINATION",1.18910325147339e-05,0.000240198856797626,3,225,"ENSG00000125826, ENSG00000169871, ENSG00000182247","MM909_15"
"511","GOBP_PROTEIN_MONOUBIQUITINATION",3.25389805091429e-05,0.000547739505237238,2,42,"ENSG00000121060, ENSG00000169871","MM909_15"
"512","GOBP_PROTEIN_K63_LINKED_UBIQUITINATION",6.23560695840852e-05,0.000899709003998944,2,58,"ENSG00000169871, ENSG00000182247","MM909_15"
"513","GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION",0.00101362933422011,0.0122840377048404,1,5,"ENSG00000125826","MM909_15"
"514","GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX",0.00121624135691489,0.0122840377048404,1,6,"ENSG00000158290","MM909_15"
"515","GOMF_UBIQUITIN_LIGASE_COMPLEX_SCAFFOLD_ACTIVITY",0.00121624135691489,0.0122840377048404,1,6,"ENSG00000108094","MM909_15"
"516","GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_C_END_DEGRON_RULE_PATHWAY",0.00243111713094391,0.0204599876764041,1,12,"ENSG00000108094","MM909_15"
"517","GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX",0.00263346376032925,0.0204599876764041,1,13,"ENSG00000158290","MM909_15"
"518","GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX",0.00263346376032925,0.0204599876764041,1,13,"ENSG00000108094","MM909_15"
